Date,Price
2012-01-03,12.345174
2012-01-04,12.411514
2012-01-05,12.549312
2012-01-06,12.6805
2012-01-09,12.660381
2012-01-10,12.705716
2012-01-11,12.685001
2012-01-12,12.650179
2012-01-13,12.602744
2012-01-17,12.749543
2012-01-18,12.881932
2012-01-19,12.841108
2012-01-20,12.617454
2012-01-23,12.830897
2012-01-24,12.620758
2012-01-25,13.408782
2012-01-26,13.347844
2012-01-27,13.427398
2012-01-30,13.599412
2012-01-31,13.703581
2012-02-01,13.694876
2012-02-02,13.662755
2012-02-03,13.799644
2012-02-06,13.928431
2012-02-07,14.074334
2012-02-08,14.30999
2012-02-09,14.805017
2012-02-10,14.812525
2012-02-13,15.08811
2012-02-14,15.294049
2012-02-15,14.940109
2012-02-16,15.076399
2012-02-17,15.073701
2012-02-21,15.455854
2012-02-22,15.40152
2012-02-23,15.502085
2012-02-24,15.682809
2012-02-27,15.783375
2012-02-28,16.073074
2012-02-29,16.284111
2012-03-01,16.345047
2012-03-02,16.366369
2012-03-05,16.005524
2012-03-06,15.918468
2012-03-07,15.931372
2012-03-08,16.270607
2012-03-09,16.366062
2012-03-12,16.57111
2012-03-13,17.054422
2012-03-14,17.699261
2012-03-15,17.578573
2012-03-16,17.578873
2012-03-19,18.04509
2012-03-20,18.19099
2012-03-21,18.087124
2012-03-22,17.992256
2012-03-23,17.893497
2012-03-26,18.221598
2012-03-27,18.446764
2012-03-28,18.541025
2012-03-29,18.308062
2012-03-30,17.998566
2012-04-02,18.571348
2012-04-03,18.89226
2012-04-04,18.741858
2012-04-05,19.023142
2012-04-09,19.099709
2012-04-10,18.865843
2012-04-11,18.798597
2012-04-12,18.695627
2012-04-13,18.169077
2012-04-16,17.415575
2012-04-17,18.30327
2012-04-18,18.26244
2012-04-19,17.635015
2012-04-20,17.200924
2012-04-23,17.162502
2012-04-24,16.81967
2012-04-25,18.312273
2012-04-26,18.243231
2012-04-27,18.102135
2012-04-30,17.531149
2012-05-01,17.475618
2012-05-02,17.591185
2012-05-03,17.466301
2012-05-04,16.968872
2012-05-07,17.09586
2012-05-08,17.056837
2012-05-09,17.086842
2012-05-10,17.127069
2012-05-11,17.012699
2012-05-14,16.757833
2012-05-15,16.606226
2012-05-16,16.393383
2012-05-17,15.914258
2012-05-18,15.922069
2012-05-21,16.849693
2012-05-22,16.720308
2012-05-23,17.128277
2012-05-24,16.97097
2012-05-25,16.880016
2012-05-29,17.179607
2012-05-30,17.386745
2012-05-31,17.343527
2012-06-01,16.840984
2012-06-04,16.940058
2012-06-05,16.896217
2012-06-06,17.155298
2012-06-07,17.163094
2012-06-08,17.421276
2012-06-11,17.146593
2012-06-12,17.296391
2012-06-13,17.176313
2012-06-14,17.157394
2012-06-15,17.235455
2012-06-18,17.585184
2012-06-19,17.634113
2012-06-20,17.583988
2012-06-21,17.341721
2012-06-22,17.474709
2012-06-25,17.134581
2012-06-26,17.172409
2012-06-27,17.246557
2012-06-28,17.082947
2012-06-29,17.531744
2012-07-02,17.787518
2012-07-03,17.994354
2012-07-05,18.310467
2012-07-06,18.188589
2012-07-09,18.429047
2012-07-10,18.258541
2012-07-11,18.145058
2012-07-12,17.979048
2012-07-13,18.16127
2012-07-16,18.219505
2012-07-17,18.220409
